Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
116,945349,175540,90,13242,7611550,0.2883,0.8377,0.83,0.3229,0.5356,0.1672,0.5748,4.0183,0.2383495,0.3481818,0.8117591,0.2215033,0.5485361,0.2108465,2.0212,Oluta,13907,0.4161315
117,964709,184446,410,22047,25700000,0.3048,0.6545,0.6398,0.5823,0.7322,0.1974,1.1657,4.0076,0.3756189,0.4171165,0.7922785,0.2248593,0.3758651,0.2250058,1.21924,Omealca,19149,0.4224825
118,970613,185059,1230,117574,133000000,0.1359,0.4625,0.4441,0.1727,0.0708,0.0263,1.1312,6.9956,0.1133567,0.2736241,0.4619059,0.1127427,0.0324084,0.1846551,5.98548,Orizaba,109120,0.4538174
119,960157,181035,15,5243,3146579,0.3332,0.6954,0.691,0.3445,0.386,0.0769,0.6001,4.6636,0.2893518,0.2998914,0.7622573,0.1316198,0.2870563,0.2709711,2.14424,Otatitlán,4475,0.4191521
120,943950,180023,50,12124,5079774,0.3497,0.8852,0.8711,0.6503,0.9977,0.3233,0.419,3.6828,0.2772609,0.3259432,0.7791867,0.3178583,0.8492075,0.3130754,1.64583,Oteapan,15167,0.43269
121,975102,213940,170,24315,15100000,0.372,0.9074,0.8985,0.6962,0.8256,0.23,0.621,3.855,0.3043217,0.3557906,0.874185,0.4448167,0.7607559,0.3581227,1.07537,Ozuluama de Mascareñas,25454,0.4303702
122,944129,181539,180,14006,3522148,0.4322,0.9678,0.9708,0.7034,0.8609,0.4417,0.2515,2.3813,0.4244159,0.5751116,0.9487989,0.3621186,0.5575909,0.2672121,0.99559,Pajapan,18548,0.3890603
123,981039,220319,30,90488,64700000,0.2741,0.653,0.6366,0.3547,0.6564,0.1,0.715,4.7351,0.2052038,0.3353158,0.6825772,0.2051401,0.4879174,0.2347546,2.03262,Pánuco,101487,0.4260357
124,971912,202652,180,169734,87400000,0.3027,0.8111,0.8052,0.6669,0.7374,0.3052,0.5149,4.4975,0.25514,0.386318,0.7897748,0.2807418,0.7565845,0.3188701,1.66234,Papantla,162735,0.4767154
125,964332,185810,480,26540,17100000,0.3526,0.353,0.3404,0.3188,0.5556,0.0972,0.6443,3.9482,0.3602549,0.455048,0.7425548,0.2037755,0.5694779,0.3323217,1.60163,Paso del Macho,29996,0.4124391
